Anio,Mes,Clave ciudad,limon,leche,camaron,tortillas,electricidad,alquiler,frijol,pollo
2018,9,26,15.75,15.0,210.0,16.0,196.42,100.01,20.0,36.5
2018,9,27,34.5,16.38,249.0,18.0,152.16,100.02,14.0,21.89
2018,9,28,14.4,19.5,182.75,16.0,192.79,100.0,12.0,26.67
2018,9,29,28.45,19.43,160.0,18.0,417.35,100.36,15.0,20.0
2018,9,30,14.0,22.9,245.0,14.0,417.35,100.0,13.0,19.42
2018,9,31,21.18,18.9,155.0,18.0,192.79,100.29,299.0,44.44
2018,9,32,18.65,17.46,180.0,19.0,152.16,100.17,10.0,18.0
2018,9,33,30.35,19.0,162.5,14.0,417.35,100.08,10.0,21.43
2018,9,34,35.55,14.9,226.97,14.5,417.35,100.12,10.0,20.25
2018,9,35,19.5,17.5,262.9,17.0,189.17,100.11,499.0,27.67
2018,9,36,24.9,13.74,169.9,14.0,417.35,100.66,11.0,17.99
2018,9,37,11.4,12.83,286.4,16.0,372.3,99.95,8.0,21.05
2018,9,38,23.28,26.5,182.0,15.0,417.35,100.44,399.0,25.25
2018,9,39,15.5,19.7,357.75,16.0,417.35,100.16,10.0,25.5
2018,9,40,24.0,14.0,260.0,17.0,395.94,100.0,8.0,40.0
2018,9,41,21.0,16.5,232.0,12.0,417.35,100.26,24.0,26.0
2018,9,42,19.5,9.6,270.0,12.0,196.42,100.2,18.0,32.64
2018,9,43,6.0,19.5,177.6,18.0,192.79,100.06,320.0,25.29
2018,9,44,16.0,14.67,168.0,15.0,417.35,100.47,14.0,28.75
2018,9,45,22.5,18.25,235.0,15.75,192.79,100.45,10.0,20.56
2018,9,46,18.49,14.23,299.0,10.3,152.16,100.11,10.5,23.5
2018,9,47,26.43,20.0,322.0,13.0,417.35,100.0,8.0,26.67
2018,9,48,13.18,19.5,207.5,18.0,192.79,100.91,320.0,35.56
2018,9,49,13.28,14.0,200.0,11.0,192.79,100.47,15.0,38.33
2018,9,50,26.0,17.5,174.0,20.0,152.16,100.13,10.0,23.5
